as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,MA,Home purchase,FSA/RHS-guaranteed,Loan originated,41
2007,MA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,11
2007,MA,Home purchase,FHA-insured,Loan originated,1518
2007,MA,Home purchase,FHA-insured,Application denied by financial institution,503
2007,MA,Home purchase,FHA-insured,Application approved but not accepted,138
2007,MA,Home purchase,Conventional,Loan originated,82897
2007,MA,Home purchase,Conventional,Application denied by financial institution,17218
2007,MA,Home purchase,Conventional,Application approved but not accepted,10706
2007,LA,Refinancing,VA-guaranteed,Loan originated,105
2007,LA,Refinancing,VA-guaranteed,Application denied by financial institution,58
2007,LA,Refinancing,VA-guaranteed,Application approved but not accepted,20
2007,MD,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,MD,Home purchase,FHA-insured,Loan originated,3966
2007,MD,Home purchase,FHA-insured,Application denied by financial institution,801
2007,MD,Home purchase,FHA-insured,Application approved but not accepted,188
2007,MD,Home purchase,Conventional,Loan originated,88497
2007,MD,Home purchase,Conventional,Application denied by financial institution,21913
2007,MD,Home purchase,Conventional,Application approved but not accepted,11024
2007,MA,Refinancing,VA-guaranteed,Loan originated,37
2007,MA,Refinancing,VA-guaranteed,Application denied by financial institution,47
2007,MA,Refinancing,VA-guaranteed,Application approved but not accepted,12
2007,MA,Refinancing,FSA/RHS-guaranteed,Loan originated,2
2007,MA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,1
2007,MA,Refinancing,FHA-insured,Loan originated,2005
2007,MA,Refinancing,FHA-insured,Application denied by financial institution,1456
2007,MA,Refinancing,FHA-insured,Application approved but not accepted,200
2007,MA,Refinancing,Conventional,Loan originated,102456
2007,MD,Refinancing,VA-guaranteed,Loan originated,473
2007,MD,Refinancing,VA-guaranteed,Application denied by financial institution,97
2007,MD,Refinancing,VA-guaranteed,Application approved but not accepted,35
2007,MD,Refinancing,FSA/RHS-guaranteed,Loan originated,13
2007,MD,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,2
2007,MD,Refinancing,FHA-insured,Loan originated,7329
2007,MD,Refinancing,FHA-insured,Application denied by financial institution,2769
2007,MD,Refinancing,FHA-insured,Application approved but not accepted,573
2007,MD,Refinancing,Conventional,Loan originated,136452
2007,MD,Refinancing,Conventional,Application denied by financial institution,94301
2007,MD,Refinancing,Conventional,Application approved but not accepted,25454
2007,MD,Home purchase,VA-guaranteed,Loan originated,1810
2007,MD,Home purchase,VA-guaranteed,Application denied by financial institution,202
2007,MD,Home purchase,VA-guaranteed,Application approved but not accepted,59
2007,MD,Home purchase,FSA/RHS-guaranteed,Loan originated,173
2007,MD,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,18
2007,ME,Refinancing,FHA-insured,Application approved but not accepted,50
2007,ME,Refinancing,Conventional,Loan originated,21307
2007,ME,Refinancing,Conventional,Application denied by financial institution,14151
2007,ME,Refinancing,Conventional,Application approved but not accepted,3925
2007,ME,Home purchase,VA-guaranteed,Loan originated,338
2007,ME,Home purchase,VA-guaranteed,Application denied by financial institution,60
2007,ME,Home purchase,VA-guaranteed,Application approved but not accepted,24
2007,ME,Home purchase,FSA/RHS-guaranteed,Loan originated,290
2007,ME,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,69
2007,ME,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,12
2007,ME,Home purchase,FHA-insured,Loan originated,816
2007,ME,Home purchase,FHA-insured,Application denied by financial institution,139
2007,ME,Home purchase,FHA-insured,Application approved but not accepted,42
2007,ME,Home purchase,Conventional,Loan originated,14380
2007,ME,Home purchase,Conventional,Application denied by financial institution,3852
2007,ME,Home purchase,Conventional,Application approved but not accepted,2154
2007,MI,Home purchase,VA-guaranteed,Application denied by financial institution,165
2007,MI,Home purchase,VA-guaranteed,Application approved but not accepted,66
2007,MI,Home purchase,FSA/RHS-guaranteed,Loan originated,1854
